VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,trip_type,trip_duration_minutes
1,2024-01-14 17:54:00,2024-01-14 18:12:36,1,3.55,2,N,143,150,Credit card,6.79,3.28,0.5,1.63,0.0,0.3,14.95,2.5,1,18.6
2,2024-01-14 23:08:30,2024-01-14 23:47:40,2,0.9,1,N,84,44,Credit card,6.14,4.47,0.5,0.99,0.0,0.3,11.9,0.0,1,39.166666666666664
1,2024-01-08 01:03:56,2024-01-08 01:16:56,3,1.88,1,N,42,56,Cash,8.82,4.83,0.5,1.81,0.0,0.3,16.21,0.0,1,13.0
2,2024-01-03 20:32:56,2024-01-03 20:45:40,1,1.81,1,N,23,1,Credit card,8.61,4.45,0.5,2.84,0.0,0.3,16.65,0.0,1,12.733333333333333
1,2024-01-18 04:36:39,2024-01-18 05:11:33,3,0.76,1,N,132,152,Credit card,9.33,3.1,0.5,1.26,17.16,0.3,31.15,0.0,1,34.9
2,2024-01-28 12:35:24,2024-01-28 13:06:46,1,2.6,1,N,105,74,Credit card,15.11,1.03,0.5,2.83,0.0,0.3,19.72,0.0,1,31.366666666666667
1,2024-01-02 23:28:48,2024-01-02 23:37:55,1,0.9,1,N,56,17,Credit card,4.05,4.72,0.5,0.57,0.0,0.3,9.64,0.0,1,9.116666666666667
1,2024-01-27 14:34:07,2024-01-27 15:03:31,1,2.47,1,N,202,202,Credit card,10.69,0.87,0.5,1.97,0.0,0.3,14.28,0.0,1,29.4
2,2024-01-26 15:45:27,2024-01-26 15:56:05,1,3.75,2,N,43,42,Credit card,12.13,0.76,0.5,2.21,8.0,0.3,23.85,0.0,1,10.633333333333333
2,2024-01-09 13:54:33,2024-01-09 14:07:11,1,8.46,1,N,125,128,Credit card,21.75,1.59,0.5,6.01,0.0,0.3,30.1,0.0,1,12.633333333333333
2,2024-01-20 13:57:29,2024-01-20 14:06:36,1,1.74,1,N,113,87,Credit card,7.66,2.87,0.5,0.99,0.0,0.3,12.27,0.0,1,9.116666666666667
2,2024-01-06 02:55:49,2024-01-06 03:03:02,1,3.67,1,Y,257,263,Cash,13.69,3.41,0.5,0.0,0.0,0.3,17.85,0.0,1,7.216666666666667
1,2024-01-24 12:01:02,2024-01-24 12:21:09,1,2.09,1,Y,28,36,Credit card,8.38,0.07,0.5,0.6,0.0,0.3,9.8,0.0,1,20.116666666666667
1,2024-01-22 17:11:20,2024-01-22 17:17:47,1,0.86,1,N,226,260,Credit card,3.0,3.89,0.5,0.35,0.0,0.3,10.04,2.5,1,6.45
2,2024-01-11 23:46:02,2024-01-12 00:06:42,1,8.52,1,N,181,186,Credit card,22.41,0.88,0.5,3.31,0.0,0.3,27.35,0.0,1,20.666666666666668
2,2024-01-03 02:31:56,2024-01-03 02:52:10,1,3.87,1,N,209,192,Credit card,10.81,1.48,0.5,2.32,0.0,0.3,15.36,0.0,1,20.233333333333334
2,2024-01-31 02:11:57,2024-01-31 02:28:42,6,4.77,1,N,205,165,Cash,11.9,1.61,0.5,0.81,19.44,0.3,34.51,0.0,1,16.75
2,2024-01-14 19:35:29,2024-01-14 19:48:55,4,9.42,1,N,204,159,Cash,26.99,1.66,0.5,1.67,14.15,0.3,45.22,0.0,1,13.433333333333334
1,2024-01-28 16:28:55,2024-01-28 16:40:34,1,2.46,1,N,115,124,Credit card,9.9,3.8,0.5,1.24,0.0,0.3,18.19,2.5,1,11.65
1,2024-01-22 00:22:18,2024-01-22 00:30:36,1,1.17,1,N,153,176,Credit card,8.36,0.2,0.5,0.93,0.0,0.3,10.24,0.0,1,8.3
1,2024-01-25 03:07:02,2024-01-25 03:52:11,1,1.72,1,N,96,70,Cash,4.23,0.98,0.5,0.39,17.99,0.3,24.34,0.0,1,45.15
2,2024-01-24 13:21:54,2024-01-24 13:38:09,2,1.08,1,N,238,245,Credit card,3.47,0.11,0.5,0.53,0.0,0.3,4.86,0.0,1,16.25
2,2024-01-07 00:48:40,2024-01-07 01:04:32,1,7.06,1,N,60,55,Credit card,24.81,3.89,0.5,6.33,18.4,0.3,54.18,0.0,1,15.866666666666667
1,2024-01-12 06:44:45,2024-01-12 06:54:11,2,11.17,1,N,156,177,Credit card,29.93,4.92,0.5,3.62,0.0,0.3,39.22,0.0,1,9.433333333333334
2,2024-01-15 11:14:25,2024-01-15 11:56:34,1,3.72,1,N,56,81,Unknown,11.89,3.3,0.5,2.04,0.0,0.3,17.98,0.0,1,42.15
1,2024-01-16 10:21:24,2024-01-16 10:33:34,1,5.48,1,N,98,31,Credit card,15.67,2.95,0.5,2.45,0.0,0.3,21.82,0.0,1,12.166666666666666
2,2024-01-02 08:35:24,2024-01-02 08:57:24,2,6.46,1,N,254,263,Credit card,22.05,4.54,0.5,5.84,0.0,0.3,35.68,2.5,1,22.0
1,2024-01-17 22:38:51,2024-01-17 23:03:44,1,9.82,1,N,52,59,Cash,30.57,1.27,0.5,3.44,0.0,0.3,36.03,0.0,1,24.883333333333333
2,2024-01-05 18:47:28,2024-01-05 19:07:35,2,10.88,2,N,234,219,Credit card,33.04,0.33,0.5,9.39,0.0,0.3,46.01,2.5,1,20.116666666666667
1,2024-01-24 01:04:18,2024-01-24 01:10:38,1,0.59,1,N,214,199,Credit card,4.05,2.55,0.5,0.44,0.0,0.3,7.34,0.0,1,6.333333333333333
1,2024-01-22 04:11:18,2024-01-22 04:39:54,1,2.14,1,N,97,97,Credit card,5.23,1.3,0.5,1.03,0.0,0.3,8.31,0.0,1,28.6
1,2024-01-29 14:21:38,2024-01-29 14:33:43,1,3.43,1,N,98,83,Unknown,16.85,2.26,0.5,2.59,0.0,0.3,22.45,0.0,1,12.083333333333334
2,2024-01-24 02:06:10,2024-01-24 02:37:20,1,1.94,1,N,2,1,Credit card,9.92,2.28,0.5,1.01,0.0,0.3,13.96,0.0,1,31.166666666666668
1,2024-01-12 08:46:55,2024-01-12 09:04:43,1,2.78,1,N,209,188,Credit card,8.08,1.59,0.5,1.57,0.0,0.3,14.49,2.5,1,17.8
1,2024-01-30 23:49:38,2024-01-31 00:15:32,1,4.56,5,N,176,145,Cash,18.17,2.43,0.5,3.69,0.0,0.3,25.04,0.0,1,25.9
2,2024-01-13 17:40:21,2024-01-13 18:20:44,1,4.47,1,N,259,263,Cash,12.07,1.9,0.5,0.95,0.0,0.3,18.17,2.5,2,40.38333333333333
2,2024-01-11 02:24:50,2024-01-11 02:52:45,1,6.32,1,N,77,78,Credit card,22.53,0.57,0.5,4.28,0.0,0.3,28.13,0.0,1,27.916666666666668
1,2024-01-29 01:43:06,2024-01-29 02:09:24,1,3.48,1,N,105,172,Credit card,15.63,4.33,0.5,1.49,0.0,0.3,22.2,0.0,1,26.3
2,2024-01-12 11:37:19,2024-01-12 12:06:45,1,0.29,3,N,181,192,Credit card,3.0,3.51,0.5,0.25,0.0,0.3,7.06,0.0,1,29.433333333333334
2,2024-01-03 08:47:57,2024-01-03 08:58:19,1,2.6,1,N,90,107,Credit card,10.75,0.21,0.5,1.47,0.0,0.3,15.68,2.5,1,10.366666666666667
2,2024-01-15 13:20:58,2024-01-15 13:53:00,1,4.26,2,N,84,53,Credit card,15.5,0.58,0.5,2.54,18.41,0.3,37.78,0.0,1,32.03333333333333
1,2024-01-25 15:59:09,2024-01-25 16:14:32,3,6.62,1,N,45,39,Cash,26.89,0.48,0.5,2.7,0.0,0.3,30.82,0.0,1,15.383333333333333
2,2024-01-06 20:58:00,2024-01-06 21:13:45,1,6.01,5,N,260,262,Cash,15.3,0.31,0.5,1.67,0.0,0.3,18.03,0.0,1,15.75
1,2024-01-15 08:25:40,2024-01-15 08:45:22,1,3.15,1,N,126,107,Cash,14.67,0.3,0.5,0.6,0.0,0.3,18.82,2.5,1,19.7
2,2024-01-05 00:39:41,2024-01-05 00:54:06,3,2.03,4,N,203,190,Credit card,7.63,0.79,0.5,1.14,0.0,0.3,10.31,0.0,1,14.416666666666666
2,2024-01-22 06:44:23,2024-01-22 06:53:16,1,3.26,2,N,173,185,Credit card,6.93,4.24,0.5,1.66,0.0,0.3,13.58,0.0,1,8.883333333333333
2,2024-01-15 17:55:28,2024-01-15 18:14:10,1,0.69,1,N,158,171,Cash,3.87,4.14,0.5,0.21,0.0,0.3,11.02,2.5,1,18.7
1,2024-01-11 05:39:57,2024-01-11 05:55:45,1,2.19,3,N,83,43,Credit card,7.98,3.92,0.5,1.37,0.0,0.3,14.02,0.0,1,15.8
1,2024-01-18 11:59:16,2024-01-18 12:14:40,1,7.42,1,N,83,91,Credit card,17.87,3.07,0.5,3.99,11.8,0.3,37.48,0.0,2,15.4
1,2024-01-21 18:20:29,2024-01-21 18:37:54,1,3.25,1,N,128,144,Credit card,11.56,3.62,0.5,1.59,0.0,0.3,20.02,2.5,1,17.416666666666668
2,2024-01-30 03:35:15,2024-01-30 03:38:51,3,4.38,1,N,36,19,Credit card,16.32,3.69,0.5,3.71,0.0,0.3,24.47,0.0,1,3.6
2,2024-01-14 13:14:27,2024-01-14 13:29:56,5,1.04,1,N,142,122,Credit card,5.81,4.45,0.5,0.46,11.3,0.3,22.77,0.0,1,15.483333333333333
2,2024-01-05 23:33:07,2024-01-06 00:16:44,1,6.59,1,N,24,37,Credit card,17.35,3.66,0.5,4.7,0.0,0.3,26.46,0.0,1,43.61666666666667
1,2024-01-26 19:30:45,2024-01-26 20:12:11,1,3.03,1,N,73,1,Cash,9.63,3.68,0.5,1.32,0.0,0.3,15.38,0.0,2,41.43333333333333
1,2024-01-20 12:32:40,2024-01-20 12:51:49,2,4.28,1,N,167,167,Credit card,13.19,4.02,0.5,2.7,11.38,0.3,32.04,0.0,1,19.15
1,2024-01-22 16:59:50,2024-01-22 17:18:32,1,4.94,1,N,7,56,Credit card,15.5,2.78,0.5,4.5,0.0,0.3,26.03,2.5,1,18.7
2,2024-01-04 00:20:11,2024-01-04 00:23:15,1,6.43,2,N,12,1,Credit card,21.9,1.07,0.5,3.8,0.0,0.3,27.52,0.0,1,3.066666666666667
2,2024-01-10 16:24:02,2024-01-10 16:36:37,1,3.84,1,N,57,81,Credit card,12.92,0.42,0.5,1.94,0.0,0.3,18.53,2.5,1,12.583333333333334
1,2024-01-24 19:16:33,2024-01-24 19:45:48,1,3.09,1,N,199,215,Credit card,6.02,2.1,0.5,1.86,0.0,0.3,10.73,0.0,1,29.25
1,2024-01-26 19:12:04,2024-01-26 19:26:14,1,1.26,2,N,212,169,Credit card,3.96,0.46,0.5,1.38,0.0,0.3,6.55,0.0,1,14.166666666666666
1,2024-01-14 11:48:04,2024-01-14 12:23:53,1,0.95,1,N,1,16,Credit card,5.37,0.85,0.5,0.78,0.0,0.3,7.3,0.0,1,35.81666666666667
2,2024-01-25 22:44:40,2024-01-25 23:19:06,1,3.78,1,N,74,104,Credit card,15.32,0.12,0.5,2.93,0.0,0.3,19.12,0.0,1,34.43333333333333
2,2024-01-27 02:13:07,2024-01-27 02:25:32,1,4.3,1,N,15,1,No charge,17.14,1.5,0.5,0.0,0.0,0.3,19.39,0.0,1,12.416666666666666
1,2024-01-13 00:17:02,2024-01-13 00:37:10,4,4.8,1,N,4,1,Credit card,19.82,4.85,0.5,3.84,0.0,0.3,29.26,0.0,1,20.133333333333333
1,2024-01-28 20:10:37,2024-01-28 20:56:26,1,1.75,1,N,248,248,Credit card,7.27,1.89,0.5,1.8,0.0,0.3,11.71,0.0,1,45.81666666666667
1,2024-01-09 22:30:57,2024-01-09 22:37:11,1,2.2,1,N,112,141,Unknown,10.29,1.2,0.5,2.7,0.0,0.3,14.94,0.0,1,6.233333333333333
2,2024-01-08 10:13:51,2024-01-08 10:28:15,1,3.74,1,N,210,194,Cash,7.49,2.02,0.5,0.7,0.0,0.3,10.96,0.0,1,14.4
1,2024-01-22 03:46:35,2024-01-22 03:52:22,1,2.42,2,N,180,179,Cash,9.84,1.51,0.5,1.38,11.54,0.3,25.02,0.0,1,5.783333333333333
2,2024-01-20 17:45:02,2024-01-20 17:54:52,5,14.07,3,N,119,100,Credit card,34.45,3.37,0.5,6.87,12.77,0.3,60.71,2.5,1,9.833333333333334
1,2024-01-05 07:58:33,2024-01-05 08:52:58,3,2.17,1,N,198,198,Cash,7.74,3.17,0.5,0.48,0.0,0.3,14.64,2.5,1,54.416666666666664
2,2024-01-26 19:33:22,2024-01-26 19:47:45,1,4.51,2,Y,66,97,Credit card,22.86,0.14,0.5,2.76,0.0,0.3,26.51,0.0,1,14.383333333333333
2,2024-01-07 04:43:54,2024-01-07 04:48:04,1,5.89,1,N,109,112,Credit card,18.14,2.56,0.5,2.68,12.14,0.3,36.27,0.0,1,4.166666666666667
1,2024-01-25 22:50:41,2024-01-25 22:59:30,1,6.13,1,N,100,90,Cash,15.23,0.18,0.5,2.51,0.0,0.3,18.67,0.0,1,8.816666666666666
2,2024-01-01 05:28:39,2024-01-01 05:34:01,1,2.39,1,N,151,151,Credit card,9.7,3.39,0.5,2.69,10.05,0.3,26.58,0.0,1,5.366666666666666
1,2024-01-25 16:51:03,2024-01-25 17:11:42,1,4.95,1,N,56,32,No charge,13.32,4.68,0.5,0.0,0.0,0.3,21.25,2.5,1,20.65
2,2024-01-25 09:28:18,2024-01-25 09:52:57,1,4.55,1,N,197,168,Unknown,10.99,4.54,0.5,2.59,0.0,0.3,21.37,2.5,1,24.65
2,2024-01-25 04:35:27,2024-01-25 05:07:45,1,5.1,4,N,222,258,Credit card,21.56,1.03,0.5,5.02,0.0,0.3,28.36,0.0,1,32.3
1,2024-01-21 14:38:56,2024-01-21 15:07:10,1,3.7,1,N,234,263,Credit card,14.95,3.71,0.5,3.32,0.0,0.3,22.73,0.0,1,28.233333333333334
1,2024-01-15 14:50:45,2024-01-15 14:57:12,1,5.92,1,N,236,183,Cash,18.34,3.97,0.5,2.56,19.28,0.3,44.9,0.0,1,6.45
2,2024-01-22 20:38:34,2024-01-22 21:02:24,1,4.02,1,N,169,186,Credit card,11.37,4.32,0.5,2.71,0.0,0.3,19.15,0.0,1,23.833333333333332
2,2024-01-09 14:10:42,2024-01-09 14:27:36,1,1.13,1,N,210,235,Credit card,4.39,1.3,0.5,0.38,0.0,0.3,6.82,0.0,1,16.9
2,2024-01-25 04:51:44,2024-01-25 05:27:05,1,3.93,1,N,182,146,Credit card,16.95,2.25,0.5,2.32,0.0,0.3,22.27,0.0,1,35.35
2,2024-01-18 05:24:04,2024-01-18 05:54:24,1,4.26,1,N,251,237,Cash,14.07,1.11,0.5,0.99,14.5,0.3,31.42,0.0,1,30.333333333333332
1,2024-01-15 05:26:00,2024-01-15 06:24:56,1,5.64,1,N,26,9,No charge,7.35,0.12,0.5,0.0,0.0,0.3,8.22,0.0,1,58.93333333333333
2,2024-01-16 16:10:15,2024-01-16 16:19:35,1,3.79,1,N,53,110,Credit card,19.24,3.3,0.5,6.39,0.0,0.3,32.18,2.5,1,9.333333333333334
1,2024-01-18 15:08:36,2024-01-18 15:16:59,1,9.97,1,N,111,160,Cash,27.97,2.16,0.5,0.44,10.08,0.3,41.4,0.0,1,8.383333333333333
1,2024-01-02 03:43:23,2024-01-02 03:56:31,2,3.16,3,N,164,137,Cash,11.43,1.24,0.5,2.23,0.0,0.3,15.65,0.0,1,13.133333333333333
1,2024-01-05 08:00:32,2024-01-05 08:17:54,3,2.3,1,N,234,191,Credit card,11.51,4.24,0.5,2.38,0.0,0.3,21.38,2.5,1,17.366666666666667
1,2024-01-08 14:38:16,2024-01-08 14:49:39,1,8.05,2,N,25,48,Credit card,24.02,2.48,0.5,6.75,0.0,0.3,34.0,0.0,1,11.383333333333333
1,2024-01-04 13:12:37,2024-01-04 13:22:18,1,3.1,6,N,43,59,Credit card,12.49,4.97,0.5,3.0,0.0,0.3,21.21,0.0,1,9.683333333333334
1,2024-01-14 15:04:20,2024-01-14 15:27:08,2,3.54,1,N,227,263,Cash,10.08,3.97,0.5,1.91,0.0,0.3,16.71,0.0,1,22.8
1,2024-01-21 17:17:30,2024-01-21 17:30:36,1,4.26,1,N,82,51,Credit card,9.46,4.35,0.5,2.05,0.0,0.3,19.11,2.5,1,13.1
1,2024-01-21 06:53:42,2024-01-21 07:04:44,1,4.02,1,N,5,26,Credit card,13.39,3.87,0.5,1.22,0.0,0.3,19.23,0.0,1,11.033333333333333
1,2024-01-15 14:29:44,2024-01-15 14:36:11,1,5.07,2,N,179,158,Credit card,19.47,0.53,0.5,3.73,8.28,0.3,32.76,0.0,2,6.45
1,2024-01-27 12:10:46,2024-01-27 12:13:59,1,5.43,1,N,231,249,Credit card,14.13,0.33,0.5,3.41,0.0,0.3,18.62,0.0,1,3.216666666666667
2,2024-01-18 12:32:08,2024-01-18 13:14:25,1,2.14,1,N,238,237,Credit card,5.67,4.58,0.5,1.04,5.44,0.3,17.48,0.0,1,42.28333333333333
1,2024-01-03 10:55:22,2024-01-03 11:36:51,1,1.35,1,N,225,263,Credit card,9.54,0.69,0.5,2.41,0.0,0.3,13.39,0.0,1,41.483333333333334
1,2024-01-24 17:09:32,2024-01-24 17:40:28,1,1.5,1,N,16,29,Credit card,4.88,1.96,0.5,0.95,0.0,0.3,11.04,2.5,1,30.933333333333334
1,2024-01-18 19:30:10,2024-01-18 19:56:33,1,7.49,1,N,36,27,Cash,19.99,3.05,0.5,1.83,0.0,0.3,25.62,0.0,1,26.383333333333333
1,2024-01-20 16:13:49,2024-01-20 16:26:05,1,2.92,1,N,229,233,Cash,8.68,1.06,0.5,0.59,0.0,0.3,13.58,2.5,1,12.266666666666667
1,2024-01-18 12:38:15,2024-01-18 13:05:20,1,5.85,1,N,183,180,Cash,16.93,1.13,0.5,1.71,0.0,0.3,20.52,0.0,1,27.083333333333332
2,2024-01-18 03:51:47,2024-01-18 03:59:45,1,5.52,5,Y,58,24,Credit card,11.58,2.33,0.5,2.51,0.0,0.3,17.17,0.0,1,7.966666666666667
1,2024-01-03 19:22:53,2024-01-03 19:42:41,1,3.54,1,N,102,159,Credit card,9.73,1.8,0.5,0.42,0.0,0.3,12.7,0.0,1,19.8
2,2024-01-18 08:03:00,2024-01-18 08:13:23,1,1.73,1,N,227,263,Cash,7.52,3.38,0.5,0.62,0.0,0.3,14.77,2.5,1,10.383333333333333
2,2024-01-25 15:24:53,2024-01-25 15:52:03,1,5.61,2,N,245,240,Credit card,17.19,0.38,0.5,0.69,0.0,0.3,19.01,0.0,1,27.166666666666668
1,2024-01-10 10:08:19,2024-01-10 10:56:07,2,3.46,1,N,234,254,Credit card,14.62,2.44,0.5,2.2,0.0,0.3,20.01,0.0,1,47.8
1,2024-01-19 16:30:41,2024-01-19 16:39:28,1,1.28,2,N,122,183,Credit card,11.22,0.87,0.5,3.32,5.82,0.3,24.48,2.5,1,8.783333333333333
1,2024-01-01 22:55:42,2024-01-01 23:08:24,1,2.44,1,N,204,241,Credit card,13.14,3.03,0.5,1.38,0.0,0.3,18.3,0.0,1,12.7
1,2024-01-11 18:32:21,2024-01-11 18:51:54,1,0.88,1,N,12,3,Credit card,7.44,0.58,0.5,1.91,0.0,0.3,12.73,2.5,1,19.55
2,2024-01-14 12:55:03,2024-01-14 12:59:34,2,2.53,1,N,243,241,Cash,8.38,0.99,0.5,2.15,0.0,0.3,12.27,0.0,1,4.516666666666667
2,2024-01-31 11:09:26,2024-01-31 11:14:59,2,3.68,1,N,59,8,Cash,9.83,4.02,0.5,1.87,0.0,0.3,16.47,0.0,1,5.55
1,2024-01-07 15:39:03,2024-01-07 16:25:58,3,3.2,1,N,253,263,Cash,10.55,1.18,0.5,1.33,0.0,0.3,13.81,0.0,1,46.916666666666664
1,2024-01-09 13:45:07,2024-01-09 14:07:59,1,2.93,1,N,5,42,Unknown,11.58,3.69,0.5,3.11,0.0,0.3,19.13,0.0,1,22.866666666666667
2,2024-01-13 15:56:43,2024-01-13 16:08:30,1,3.65,1,N,244,263,Credit card,14.09,1.37,0.5,1.27,0.0,0.3,17.48,0.0,1,11.783333333333333
2,2024-01-31 18:32:35,2024-01-31 18:50:45,1,4.87,1,N,139,160,Credit card,16.54,1.18,0.5,1.23,9.52,0.3,31.72,2.5,1,18.166666666666668
2,2024-01-27 10:55:54,2024-01-27 11:09:05,1,6.16,1,N,135,145,Credit card,17.54,1.5,0.5,3.55,0.0,0.3,23.34,0.0,1,13.183333333333334
1,2024-01-02 01:48:41,2024-01-02 02:08:38,1,6.71,1,N,178,149,Cash,21.64,4.4,0.5,3.01,17.23,0.3,47.03,0.0,1,19.95
2,2024-01-08 06:03:03,2024-01-08 06:16:35,1,1.95,1,Y,122,131,Credit card,11.16,1.99,0.5,3.21,0.0,0.3,17.11,0.0,1,13.533333333333333
1,2024-01-26 11:19:32,2024-01-26 11:36:45,1,7.14,6,N,251,233,Cash,22.99,1.22,0.5,2.13,6.09,0.3,33.18,0.0,1,17.216666666666665
2,2024-01-02 19:22:38,2024-01-02 19:51:23,3,3.46,1,N,28,43,Credit card,11.05,2.68,0.5,2.38,0.0,0.3,16.86,0.0,1,28.75
1,2024-01-27 12:37:08,2024-01-27 13:04:41,1,2.7,2,N,173,151,Credit card,6.75,1.93,0.5,1.44,0.0,0.3,10.87,0.0,1,27.55
2,2024-01-09 17:20:58,2024-01-09 18:06:13,1,1.53,1,N,57,72,Cash,3.75,3.95,0.5,0.43,0.0,0.3,11.38,2.5,1,45.25
2,2024-01-29 10:43:59,2024-01-29 11:07:56,1,0.26,1,N,10,49,Cash,3.0,4.95,0.5,0.35,0.0,0.3,8.6,0.0,1,23.95
2,2024-01-10 02:26:01,2024-01-10 02:44:59,3,4.64,1,N,172,183,Cash,14.87,2.63,0.5,1.17,0.0,0.3,19.42,0.0,1,18.966666666666665
2,2024-01-14 11:07:54,2024-01-14 11:57:27,3,4.52,1,Y,179,188,Credit card,15.36,2.26,0.5,3.42,0.0,0.3,21.79,0.0,1,49.55
1,2024-01-21 12:27:57,2024-01-21 12:43:57,1,2.27,1,N,34,61,Credit card,3.93,1.72,0.5,0.85,0.0,0.3,7.25,0.0,1,16.0
2,2024-01-04 21:57:10,2024-01-04 22:00:34,4,2.32,5,N,192,245,Credit card,6.79,4.87,0.5,1.12,0.0,0.3,13.53,0.0,1,3.4
1,2024-01-18 06:25:54,2024-01-18 06:57:05,3,3.12,1,N,248,245,Cash,11.03,2.42,0.5,1.68,0.0,0.3,15.88,0.0,1,31.183333333333334
